Route,Grade,Grade band,Discipline,Grade system,Area,Wall,Source,Latitude,Longitude,Row Key,Notion Page ID,Status
Der Stümper,8-,8-11,sport,UIAA,Hohe Wand,Strassenwand,Österreich Ost,,,Hohe Wand | Strassenwand | Der Stümper,,to create
Direinstieg,7,5-7,sport,UIAA,Hohe Wand,Strassenwand,Österreich Ost,,,Hohe Wand | Strassenwand | Direinstieg,,to create
Puchberger Präsent,9+/10-,8-11,sport,UIAA,Hohe Wand,Strassenwand,Österreich Ost,,,Hohe Wand | Strassenwand | Puchberger Präsent,,to create
Heidi Hetzer,8+,8-11,sport,UIAA,Hohe Wand,Strassenwand,Österreich Ost,,,Hohe Wand | Strassenwand | Heidi Hetzer,,to create
Müllerriss,7+,5-7,sport,UIAA,Hohe Wand,Strassenwand,Österreich Ost,,,Hohe Wand | Strassenwand | Müllerriss,,to create
Hammersturm,7+,5-7,sport,UIAA,Hohe Wand,Strassenwand,Österreich Ost,,,Hohe Wand | Strassenwand | Hammersturm,,to create
Room to Move,9-,8-11,sport,UIAA,Hohe Wand,Strassenwand,Österreich Ost,,,Hohe Wand | Strassenwand | Room to Move,,to create
Lock Up,8/8+,8-11,sport,UIAA,Hohe Wand,Strassenwand,Österreich Ost,,,Hohe Wand | Strassenwand | Lock Up,,to create
Stoneoffice,8,8-11,sport,UIAA,Hohe Wand,Strassenwand,Österreich Ost,,,Hohe Wand | Strassenwand | Stoneoffice,,to create
Crisis,7,5-7,sport,UIAA,Hohe Wand,Strassenwand,Österreich Ost,,,Hohe Wand | Strassenwand | Crisis,,to create
Schweinsgalopp,7,5-7,sport,UIAA,Hohe Wand,Strassenwand,Österreich Ost,,,Hohe Wand | Strassenwand | Schweinsgalopp,,to create
Morbus 68,6+,5-7,sport,UIAA,Hohe Wand,Strassenwand,Österreich Ost,,,Hohe Wand | Strassenwand | Morbus 68,,to create
Helly Hannsen,7,5-7,sport,UIAA,Hohe Wand,Strassenwand,Österreich Ost,,,Hohe Wand | Strassenwand | Helly Hannsen,,to create
Rein oder Nein,6+,5-7,sport,UIAA,Hohe Wand,Strassenwand,Österreich Ost,,,Hohe Wand | Strassenwand | Rein oder Nein,,to create
Eichenlaub,8,8-11,sport,UIAA,Hohe Wand,Strassenwand,Österreich Ost,,,Hohe Wand | Strassenwand | Eichenlaub,,to create
Persona Non Grata,7,5-7,sport,UIAA,Hohe Wand,Strassenwand,Österreich Ost,,,Hohe Wand | Strassenwand | Persona Non Grata,,to create
Jörg Gedächtnisweg,6,5-7,sport,UIAA,Hohe Wand,Strassenwand,Österreich Ost,,,Hohe Wand | Strassenwand | Jörg Gedächtnisweg,,to create
Sphynx,7,5-7,sport,UIAA,Hohe Wand,Strassenwand,Österreich Ost,,,Hohe Wand | Strassenwand | Sphynx,,to create
Ruhig Blut,7+,5-7,sport,UIAA,Hohe Wand,Strassenwand,Österreich Ost,,,Hohe Wand | Strassenwand | Ruhig Blut,,to create
Immer Vorwärts,7-,5-7,sport,UIAA,Hohe Wand,Strassenwand,Österreich Ost,,,Hohe Wand | Strassenwand | Immer Vorwärts,,to create
Musikantenstadl,7-,5-7,sport,UIAA,Hohe Wand,Strassenwand,Österreich Ost,,,Hohe Wand | Strassenwand | Musikantenstadl,,to create
Goldblut,7,5-7,sport,UIAA,Hohe Wand,Strassenwand,Österreich Ost,,,Hohe Wand | Strassenwand | Goldblut,,to create
Blutmauer,9+,8-11,sport,UIAA,Hohe Wand,Strassenwand,Österreich Ost,,,Hohe Wand | Strassenwand | Blutmauer,,to create
Zang Tumb Tumb,8-,8-11,sport,UIAA,Hohe Wand,Strassenwand,Österreich Ost,,,Hohe Wand | Strassenwand | Zang Tumb Tumb,,to create
Split,7+,5-7,sport,UIAA,Hohe Wand,Strassenwand,Österreich Ost,,,Hohe Wand | Strassenwand | Split,,to create
Spätlese,7+,5-7,sport,UIAA,Hohe Wand,Strassenwand,Österreich Ost,,,Hohe Wand | Strassenwand | Spätlese,,to create
Ruhelos,8-,8-11,sport,UIAA,Hohe Wand,Strassenwand,Österreich Ost,,,Hohe Wand | Strassenwand | Ruhelos,,to create
Vater Mond,4,1-4,sport,UIAA,Hohe Wand,ÖTK Klettergarten,Österreich Ost,,,Hohe Wand | ÖTK Klettergarten | Vater Mond,,to create
Neue Sonne,3,1-4,sport,UIAA,Hohe Wand,ÖTK Klettergarten,Österreich Ost,,,Hohe Wand | ÖTK Klettergarten | Neue Sonne,,to create
Weisser Mond,4,1-4,sport,UIAA,Hohe Wand,ÖTK Klettergarten,Österreich Ost,,,Hohe Wand | ÖTK Klettergarten | Weisser Mond,,to create
Rotes Dreieck,4,1-4,sport,UIAA,Hohe Wand,ÖTK Klettergarten,Österreich Ost,,,Hohe Wand | ÖTK Klettergarten | Rotes Dreieck,,to create
Bahlsenkex,4,1-4,sport,UIAA,Hohe Wand,ÖTK Klettergarten,Österreich Ost,,,Hohe Wand | ÖTK Klettergarten | Bahlsenkex,,to create
Marebito,6+,5-7,sport,UIAA,Hohe Wand,ÖTK Klettergarten,Österreich Ost,,,Hohe Wand | ÖTK Klettergarten | Marebito,,to create
Sonnenfinsternis,7,5-7,sport,UIAA,Hohe Wand,ÖTK Klettergarten,Österreich Ost,,,Hohe Wand | ÖTK Klettergarten | Sonnenfinsternis,,to create
Mental Funeral,9,8-11,sport,UIAA,Hohe Wand,ÖTK Klettergarten,Österreich Ost,,,Hohe Wand | ÖTK Klettergarten | Mental Funeral,,to create
Quellenkante,8,8-11,sport,UIAA,Hohe Wand,ÖTK Klettergarten,Österreich Ost,,,Hohe Wand | ÖTK Klettergarten | Quellenkante,,to create
Sacramento,7+/8-,5-7,sport,UIAA,Hohe Wand,ÖTK Klettergarten,Österreich Ost,,,Hohe Wand | ÖTK Klettergarten | Sacramento,,to create
Ruckzuck,7,5-7,sport,UIAA,Hohe Wand,ÖTK Klettergarten,Österreich Ost,,,Hohe Wand | ÖTK Klettergarten | Ruckzuck,,to create
Santa Fe,7+/8-,5-7,sport,UIAA,Hohe Wand,ÖTK Klettergarten,Österreich Ost,,,Hohe Wand | ÖTK Klettergarten | Santa Fe,,to create
Aller Anfang,6+,5-7,sport,UIAA,Hohe Wand,ÖTK Klettergarten,Österreich Ost,,,Hohe Wand | ÖTK Klettergarten | Aller Anfang,,to create
Kurzer Kamin (ÖTK),5,5-7,sport,UIAA,Hohe Wand,ÖTK Klettergarten,Österreich Ost,,,Hohe Wand | ÖTK Klettergarten | Kurzer Kamin (ÖTK),,to create
Var (ÖTK),4+,1-4,sport,UIAA,Hohe Wand,ÖTK Klettergarten,Österreich Ost,,,Hohe Wand | ÖTK Klettergarten | Var (ÖTK),,to create
Wilde Völlerin,3-,1-4,sport,UIAA,Hohe Wand,ÖTK Klettergarten,Österreich Ost,,,Hohe Wand | ÖTK Klettergarten | Wilde Völlerin,,to create
Wildeste Völlerin,3+,1-4,sport,UIAA,Hohe Wand,ÖTK Klettergarten,Österreich Ost,,,Hohe Wand | ÖTK Klettergarten | Wildeste Völlerin,,to create
Linker Völlerinpfeiler,5,5-7,sport,UIAA,Hohe Wand,ÖTK Klettergarten,Österreich Ost,,,Hohe Wand | ÖTK Klettergarten | Linker Völlerinpfeiler,,to create
Völlerinpfeiler,4+,1-4,sport,UIAA,Hohe Wand,ÖTK Klettergarten,Österreich Ost,,,Hohe Wand | ÖTK Klettergarten | Völlerinpfeiler,,to create
Beinhart,8+,8-11,sport,UIAA,Hohe Wand,ÖTK Klettergarten,Österreich Ost,,,Hohe Wand | ÖTK Klettergarten | Beinhart,,to create
Unterm Pfaffenrock,8-,8-11,sport,UIAA,Hohe Wand,ÖTK Klettergarten,Österreich Ost,,,Hohe Wand | ÖTK Klettergarten | Unterm Pfaffenrock,,to create
Für unsere Kinder,2-,1-4,sport,UIAA,Hohe Wand,ÖTK Klettergarten,Österreich Ost,,,Hohe Wand | ÖTK Klettergarten | Für unsere Kinder,,to create
Der strenge Geruch nach Merkapthan,9+,8-11,sport,UIAA,Hohe Wand,ÖTK Klettergarten,Österreich Ost,,,Hohe Wand | ÖTK Klettergarten | Der strenge Geruch nach Merkapthan,,to create
Maxpfeiler,4-,1-4,sport,UIAA,Hohe Wand,ÖTK Klettergarten,Österreich Ost,,,Hohe Wand | ÖTK Klettergarten | Maxpfeiler,,to create
Der Mann von der Maut,3,1-4,sport,UIAA,Hohe Wand,ÖTK Klettergarten,Österreich Ost,,,Hohe Wand | ÖTK Klettergarten | Der Mann von der Maut,,to create
Die wüdeste Posteline,4+,1-4,sport,UIAA,Hohe Wand,ÖTK Klettergarten,Österreich Ost,,,Hohe Wand | ÖTK Klettergarten | Die wüdeste Posteline,,to create
Sonnenuhrverschneidung,6,5-7,sport,UIAA,Hohe Wand,ÖTK Klettergarten,Österreich Ost,,,Hohe Wand | ÖTK Klettergarten | Sonnenuhrverschneidung,,to create
Pfeilereinstieg,6,5-7,sport,UIAA,Hohe Wand,ÖTK Klettergarten,Österreich Ost,,,Hohe Wand | ÖTK Klettergarten | Pfeilereinstieg,,to create
Überhangvariante,7-,5-7,sport,UIAA,Hohe Wand,ÖTK Klettergarten,Österreich Ost,,,Hohe Wand | ÖTK Klettergarten | Überhangvariante,,to create
Nebelreissen,5,5-7,sport,UIAA,Hohe Wand,ÖTK Klettergarten,Österreich Ost,,,Hohe Wand | ÖTK Klettergarten | Nebelreissen,,to create
Miluppa,7,5-7,sport,UIAA,Hohe Wand,ÖTK Klettergarten,Österreich Ost,,,Hohe Wand | ÖTK Klettergarten | Miluppa,,to create
Nebelgrauen,5-,5-7,sport,UIAA,Hohe Wand,ÖTK Klettergarten,Österreich Ost,,,Hohe Wand | ÖTK Klettergarten | Nebelgrauen,,to create
Bat Bitch,8+,8-11,sport,UIAA,Hohe Wand,Unterer Almfrieden,Österreich Ost,,,Hohe Wand | Unterer Almfrieden | Bat Bitch,,to create
Robin Hood,8,8-11,sport,UIAA,Hohe Wand,Unterer Almfrieden,Österreich Ost,,,Hohe Wand | Unterer Almfrieden | Robin Hood,,to create
Gut Ding braucht Weile,8-,8-11,sport,UIAA,Hohe Wand,Unterer Almfrieden,Österreich Ost,,,Hohe Wand | Unterer Almfrieden | Gut Ding braucht Weile,,to create
Im Schatten des Sequoia,8-,8-11,sport,UIAA,Hohe Wand,Unterer Almfrieden,Österreich Ost,,,Hohe Wand | Unterer Almfrieden | Im Schatten des Sequoia,,to create
Turbo Diesel,8-,8-11,sport,UIAA,Hohe Wand,Unterer Almfrieden,Österreich Ost,,,Hohe Wand | Unterer Almfrieden | Turbo Diesel,,to create
Condorman,8,8-11,sport,UIAA,Hohe Wand,Unterer Almfrieden,Österreich Ost,,,Hohe Wand | Unterer Almfrieden | Condorman,,to create
Flug des Kolibri,7/7+,5-7,sport,UIAA,Hohe Wand,Unterer Almfrieden,Österreich Ost,,,Hohe Wand | Unterer Almfrieden | Flug des Kolibri,,to create
Öko Hanf,7+,5-7,sport,UIAA,Hohe Wand,Unterer Almfrieden,Österreich Ost,,,Hohe Wand | Unterer Almfrieden | Öko Hanf,,to create
Im Regenwald,7+,5-7,sport,UIAA,Hohe Wand,Unterer Almfrieden,Österreich Ost,,,Hohe Wand | Unterer Almfrieden | Im Regenwald,,to create
Time Out,8+/9-,8-11,sport,UIAA,Hohe Wand,Unterer Almfrieden,Österreich Ost,,,Hohe Wand | Unterer Almfrieden | Time Out,,to create
Namenlos (Almfrieden a),8,8-11,sport,UIAA,Hohe Wand,Unterer Almfrieden,Österreich Ost,,,Hohe Wand | Unterer Almfrieden | Namenlos (Almfrieden a),,to create
Arktischer Sturm,8,8-11,sport,UIAA,Hohe Wand,Unterer Almfrieden,Österreich Ost,,,Hohe Wand | Unterer Almfrieden | Arktischer Sturm,,to create
Froschkönig,7-,5-7,sport,UIAA,Hohe Wand,Unterer Almfrieden,Österreich Ost,,,Hohe Wand | Unterer Almfrieden | Froschkönig,,to create
Märchenprinz,7,5-7,sport,UIAA,Hohe Wand,Unterer Almfrieden,Österreich Ost,,,Hohe Wand | Unterer Almfrieden | Märchenprinz,,to create
Zwergnase,6+,5-7,sport,UIAA,Hohe Wand,Unterer Almfrieden,Österreich Ost,,,Hohe Wand | Unterer Almfrieden | Zwergnase,,to create
Zwielichtig,6+,5-7,sport,UIAA,Hohe Wand,Unterer Almfrieden,Österreich Ost,,,Hohe Wand | Unterer Almfrieden | Zwielichtig,,to create
Papamobil,6,5-7,sport,UIAA,Hohe Wand,Unterer Almfrieden,Österreich Ost,,,Hohe Wand | Unterer Almfrieden | Papamobil,,to create
Steinfeder Rose,5+,5-7,sport,UIAA,Hohe Wand,Unterer Almfrieden,Österreich Ost,,,Hohe Wand | Unterer Almfrieden | Steinfeder Rose,,to create
Graue Kante,3+,1-4,sport,UIAA,Hohe Wand,Hochkogeleck,Österreich Ost,,,Hohe Wand | Hochkogeleck | Graue Kante,,to create
Yes We Can,7,5-7,sport,UIAA,Hohe Wand,Hochkogeleck,Österreich Ost,,,Hohe Wand | Hochkogeleck | Yes We Can,,to create
Miss Helsinki,8,8-11,sport,UIAA,Hohe Wand,Hochkogeleck,Österreich Ost,,,Hohe Wand | Hochkogeleck | Miss Helsinki,,to create
Trumpets Call,6-,5-7,sport,UIAA,Hohe Wand,Hochkogeleck,Österreich Ost,,,Hohe Wand | Hochkogeleck | Trumpets Call,,to create
Die Wende,5-,5-7,sport,UIAA,Hohe Wand,Hochkogeleck,Österreich Ost,,,Hohe Wand | Hochkogeleck | Die Wende,,to create
Bocksteig,2-,1-4,sport,UIAA,Hohe Wand,Hochkogeleck,Österreich Ost,,,Hohe Wand | Hochkogeleck | Bocksteig,,to create
Die neue Welle,5+,5-7,sport,UIAA,Hohe Wand,Hochkogeleck,Österreich Ost,,,Hohe Wand | Hochkogeleck | Die neue Welle,,to create
FCK System,6+,5-7,sport,UIAA,Hohe Wand,Hochkogeleck,Österreich Ost,,,Hohe Wand | Hochkogeleck | FCK System,,to create
Horusauge,6+,5-7,sport,UIAA,Hohe Wand,Hochkogeleck,Österreich Ost,,,Hohe Wand | Hochkogeleck | Horusauge,,to create
An Bahnsteigen stehn,7+,5-7,sport,UIAA,Hohe Wand,Hochkogeleck,Österreich Ost,,,Hohe Wand | Hochkogeleck | An Bahnsteigen stehn,,to create
Walknut,7,5-7,sport,UIAA,Hohe Wand,Hochkogeleck,Österreich Ost,,,Hohe Wand | Hochkogeleck | Walknut,,to create
Alek,7-,5-7,sport,UIAA,Hohe Wand,Hochkogeleck,Österreich Ost,,,Hohe Wand | Hochkogeleck | Alek,,to create
Drangsal,6-,5-7,sport,UIAA,Hohe Wand,Hochkogeleck,Österreich Ost,,,Hohe Wand | Hochkogeleck | Drangsal,,to create
Drangsal Lang,9/9+,8-11,multipitch,UIAA,Hohe Wand,Hochkogeleck,Österreich Ost,,,Hohe Wand | Hochkogeleck | Drangsal Lang,,to create
Gungnir,5-,5-7,sport,UIAA,Hohe Wand,Hochkogeleck,Österreich Ost,,,Hohe Wand | Hochkogeleck | Gungnir,,to create
Gungnir Lang,10-,8-11,multipitch,UIAA,Hohe Wand,Hochkogeleck,Österreich Ost,,,Hohe Wand | Hochkogeleck | Gungnir Lang,,to create
Feuropa + Neuer Einstieg,7,5-7,multipitch,UIAA,Hohe Wand,Hochkogeleck,Österreich Ost,,,Hohe Wand | Hochkogeleck | Feuropa + Neuer Einstieg,,to create
Feuropa,7,5-7,multipitch,UIAA,Hohe Wand,Hochkogeleck,Österreich Ost,,,Hohe Wand | Hochkogeleck | Feuropa,,to create
Wildhoney,7-,5-7,sport,UIAA,Hohe Wand,Hochkogel,Österreich Ost,,,Hohe Wand | Hochkogel | Wildhoney,,to create
Honeymoon,7-,5-7,sport,UIAA,Hohe Wand,Hochkogel,Österreich Ost,,,Hohe Wand | Hochkogel | Honeymoon,,to create
Zauberlehrling,7-,5-7,sport,UIAA,Hohe Wand,Hochkogel,Österreich Ost,,,Hohe Wand | Hochkogel | Zauberlehrling,,to create
Zauberflöte,7,5-7,sport,UIAA,Hohe Wand,Hochkogel,Österreich Ost,,,Hohe Wand | Hochkogel | Zauberflöte,,to create
Esparanza,7,5-7,sport,UIAA,Hohe Wand,Hochkogel,Österreich Ost,,,Hohe Wand | Hochkogel | Esparanza,,to create
Uovopeccare,7+,5-7,sport,UIAA,Hohe Wand,Hochkogel,Österreich Ost,,,Hohe Wand | Hochkogel | Uovopeccare,,to create
Geilspecht,8,8-11,sport,UIAA,Hohe Wand,Hochkogel,Österreich Ost,,,Hohe Wand | Hochkogel | Geilspecht,,to create
Iszeit,9-/9,8-11,sport,UIAA,Hohe Wand,Hochkogel,Österreich Ost,,,Hohe Wand | Hochkogel | Iszeit,,to create
Condor,8,8-11,sport,UIAA,Hohe Wand,Hochkogel,Österreich Ost,,,Hohe Wand | Hochkogel | Condor,,to create
König Uhu und die Gier,9-,8-11,sport,UIAA,Hohe Wand,Hochkogel,Österreich Ost,,,Hohe Wand | Hochkogel | König Uhu und die Gier,,to create
Urquell,8-,8-11,sport,UIAA,Hohe Wand,Hochkogel,Österreich Ost,,,Hohe Wand | Hochkogel | Urquell,,to create
Pokerface,7+,5-7,sport,UIAA,Hohe Wand,Hochkogel,Österreich Ost,,,Hohe Wand | Hochkogel | Pokerface,,to create
Kraftlicht,11-,8-11,sport,UIAA,Hohe Wand,Hochkogel,Österreich Ost,,,Hohe Wand | Hochkogel | Kraftlicht,,to create
Windkraft,10-,8-11,sport,UIAA,Hohe Wand,Hochkogel,Österreich Ost,,,Hohe Wand | Hochkogel | Windkraft,,to create
Zeitreise,10,8-11,sport,UIAA,Hohe Wand,Hochkogel,Österreich Ost,,,Hohe Wand | Hochkogel | Zeitreise,,to create
Finstertour,10,8-11,sport,UIAA,Hohe Wand,Hochkogel,Österreich Ost,,,Hohe Wand | Hochkogel | Finstertour,,to create
Im Reich des silbernen Löwen,10/10+,8-11,sport,UIAA,Hohe Wand,Hochkogel,Österreich Ost,,,Hohe Wand | Hochkogel | Im Reich des silbernen Löwen,,to create
Die Philosophie ist wie ein Gurkerl im Knie,10,8-11,sport,UIAA,Hohe Wand,Hochkogel,Österreich Ost,,,Hohe Wand | Hochkogel | Die Philosophie ist wie ein Gurkerl im Knie,,to create
Manitou,9-,8-11,sport,UIAA,Hohe Wand,Hochkogel,Österreich Ost,,,Hohe Wand | Hochkogel | Manitou,,to create
Back to the Roots,10+,8-11,sport,UIAA,Hohe Wand,Hochkogel,Österreich Ost,,,Hohe Wand | Hochkogel | Back to the Roots,,to create
Nobodi,9+/10-,8-11,sport,UIAA,Hohe Wand,Hochkogel,Österreich Ost,,,Hohe Wand | Hochkogel | Nobodi,,to create
1000 Liter Feuerwasser,10/10,8-11,sport,UIAA,Hohe Wand,Hochkogel,Österreich Ost,,,Hohe Wand | Hochkogel | 1000 Liter Feuerwasser,,to create
Tscho Tschi,10-/10,8-11,sport,UIAA,Hohe Wand,Hochkogel,Österreich Ost,,,Hohe Wand | Hochkogel | Tscho Tschi,,to create
Verliebter Leichnam,10,8-11,sport,UIAA,Hohe Wand,Hochkogel,Österreich Ost,,,Hohe Wand | Hochkogel | Verliebter Leichnam,,to create
Red Bull,9-/9,8-11,sport,UIAA,Hohe Wand,Hochkogel,Österreich Ost,,,Hohe Wand | Hochkogel | Red Bull,,to create
Nirvana,8+/9-,8-11,sport,UIAA,Hohe Wand,Hochkogel,Österreich Ost,,,Hohe Wand | Hochkogel | Nirvana,,to create
Winnitou,9-,8-11,sport,UIAA,Hohe Wand,Hochkogel,Österreich Ost,,,Hohe Wand | Hochkogel | Winnitou,,to create
Ballisto Vertikal,9-,8-11,sport,UIAA,Hohe Wand,Hochkogel,Österreich Ost,,,Hohe Wand | Hochkogel | Ballisto Vertikal,,to create
Hakoah,9+/10-,8-11,sport,UIAA,Hohe Wand,Hochkogel,Österreich Ost,,,Hohe Wand | Hochkogel | Hakoah,,to create
Impoposant,9+,8-11,sport,UIAA,Hohe Wand,Hochkogel,Österreich Ost,,,Hohe Wand | Hochkogel | Impoposant,,to create
Milchstau,9+/10-,8-11,sport,UIAA,Hohe Wand,Hochkogel,Österreich Ost,,,Hohe Wand | Hochkogel | Milchstau,,to create
Rex the Runt,10-,8-11,sport,UIAA,Hohe Wand,Hochkogel,Österreich Ost,,,Hohe Wand | Hochkogel | Rex the Runt,,to create
Cold Turkey,10-,8-11,sport,UIAA,Hohe Wand,Hochkogel,Österreich Ost,,,Hohe Wand | Hochkogel | Cold Turkey,,to create
Stilldemenz,10-,8-11,sport,UIAA,Hohe Wand,Hochkogel,Österreich Ost,,,Hohe Wand | Hochkogel | Stilldemenz,,to create
Missing Link,9-,8-11,sport,UIAA,Hohe Wand,Hochkogel,Österreich Ost,,,Hohe Wand | Hochkogel | Missing Link,,to create
Lucy in the Sky,7-,5-7,sport,UIAA,Hohe Wand,Hochkogel,Österreich Ost,,,Hohe Wand | Hochkogel | Lucy in the Sky,,to create
Lederstrumpf,6+,5-7,sport,UIAA,Hohe Wand,Hochkogel,Österreich Ost,,,Hohe Wand | Hochkogel | Lederstrumpf,,to create
Supermartinachtzeh,8-,8-11,sport,UIAA,Hohe Wand,Hochkogel,Österreich Ost,,,Hohe Wand | Hochkogel | Supermartinachtzeh,,to create
Hakuna Matata,10-,8-11,sport,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | Hakuna Matata,,to create
Pfeilerharmonie,7,5-7,sport,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | Pfeilerharmonie,,to create
Schilddrüsengenerator,7,5-7,sport,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | Schilddrüsengenerator,,to create
Hochfallpfeiler,6+,5-7,sport,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | Hochfallpfeiler,,to create
Potatoe Field,7+/8-,5-7,sport,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | Potatoe Field,,to create
Knusperstilzchen,7+/8-,5-7,sport,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | Knusperstilzchen,,to create
Eldorado,7,5-7,sport,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | Eldorado,,to create
Tanz den Mussolini,8-,8-11,sport,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | Tanz den Mussolini,,to create
Nullkommajosef,8-/8,8-11,sport,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | Nullkommajosef,,to create
Thar,7+,5-7,sport,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | Thar,,to create
Get a Grip,7+,5-7,sport,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | Get a Grip,,to create
Take a Trip,8/8+,8-11,sport,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | Take a Trip,,to create
Kein Kaffee kein Kuchen,8,8-11,sport,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | Kein Kaffee kein Kuchen,,to create
Whales Forever,9-/10-,8-11,sport,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | Whales Forever,,to create
Orca,8+,8-11,sport,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | Orca,,to create
Kein Kaffee Originaleinstieg,7-,5-7,sport,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | Kein Kaffee Originaleinstieg,,to create
Grünbachersteig,6+,5-7,sport,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | Grünbachersteig,,to create
Michlweg,7+,5-7,sport,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | Michlweg,,to create
Rave de Fair,7+,5-7,sport,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | Rave de Fair,,to create
De Ja Vue,7+,5-7,sport,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | De Ja Vue,,to create
Wilder Honig,7+/8-,5-7,sport,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | Wilder Honig,,to create
Impressionskompressor,,,sport,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | Impressionskompressor,,to create
Südwind,7-,5-7,sport,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | Südwind,,to create
Charlies Traum,7+,5-7,sport,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | Charlies Traum,,to create
Harter Aufriss,8-,8-11,sport,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | Harter Aufriss,,to create
Holzertour,,,sport,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | Holzertour,,to create
Grünbacherverschneidung,7-,5-7,sport,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | Grünbacherverschneidung,,to create
Traumlos,10-,8-11,sport,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | Traumlos,,to create
Inuendo,8+,8-11,sport,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | Inuendo,,to create
Kindertour (Hochfall a),1+ bis 2+,1-4,sport,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | Kindertour (Hochfall a),,to create
Land der Hämmer,9,8-11,multipitch,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | Land der Hämmer,,to create
ÖTK-Jubiläumsführe,10-,8-11,multipitch,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | ÖTK-Jubiläumsführe,,to create
Limbonic Art,8,8-11,sport,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | Limbonic Art,,to create
Kurzer Prozess,6+,5-7,sport,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | Kurzer Prozess,,to create
Orgasmus des Teufels,6+,5-7,multipitch,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | Orgasmus des Teufels,,to create
Orgasmus 2.SL,9+/10-,8-11,sport,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | Orgasmus 2.SL,,to create
Niagara,8,8-11,sport,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | Niagara,,to create
Noch ein Überhang,8-,8-11,sport,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | Noch ein Überhang,,to create
Fahrstuhl zu den Sternen,8,8-11,multipitch,UIAA,Hohe Wand,Hochfallbasis,Österreich Ost,,,Hohe Wand | Hochfallbasis | Fahrstuhl zu den Sternen,,to create
